method,path,category,guest_allowed,named_token_needs_permission,source_note
POST,/active-server,serverControl,false,true,"adminOnlyPOSTPaths + pathPermissions[""/active-server""]=""serverControl"""
GET,/addons,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/allowlist,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/allowlist,players,false,true,"adminOnlyPOSTPaths + pathPermissions[""/allowlist""]=""players"""
GET,/backups,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/backups/config,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/backups/config,settings,false,true,"adminOnlyPOSTPaths + pathPermissions[""/backups/config""]=""settings"""
POST,/backups/now,worlds,false,true,"adminOnlyPOSTPaths + pathPermissions[""/backups/now""]=""worlds"""
POST,/backups/restore,worlds,false,true,"adminOnlyPOSTPaths + pathPermissions[""/backups/restore""]=""worlds"""
GET,/broadcast/auth-prompt,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/broadcast/auth-prompt/dismiss,broadcast,false,true,"adminOnlyPOSTPaths + pathPermissions[""/broadcast/auth-prompt/dismiss""]=""broadcast"""
GET,/broadcast/autostart,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/broadcast/autostart,broadcast,false,true,"adminOnlyPOSTPaths + pathPermissions[""/broadcast/autostart""]=""broadcast"""
POST,/broadcast/credentials,broadcast,false,true,"adminOnlyPOSTPaths + pathPermissions[""/broadcast/credentials""]=""broadcast"""
POST,/broadcast/download-jar,broadcast,false,true,"adminOnlyPOSTPaths + pathPermissions[""/broadcast/download-jar""]=""broadcast"""
GET,/broadcast/jar-status,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/broadcast/restart,broadcast,false,true,"adminOnlyPOSTPaths + pathPermissions[""/broadcast/restart""]=""broadcast"""
POST,/broadcast/start,broadcast,false,true,"adminOnlyPOSTPaths + pathPermissions[""/broadcast/start""]=""broadcast"""
GET,/broadcast/status,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/broadcast/stop,broadcast,false,true,"adminOnlyPOSTPaths + pathPermissions[""/broadcast/stop""]=""broadcast"""
GET,/catalog/search,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/command,serverControl,false,true,"adminOnlyPOSTPaths + pathPermissions[""/command""]=""serverControl"""
GET,/components,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/components/client-export,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/components/install,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/components/install""]=""addons"""
POST,/components/remove,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/components/remove""]=""addons"""
POST,/components/update,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/components/update""]=""addons"""
POST,/components/version,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/components/version""]=""addons"""
GET,/config/geyser,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/config/geyser,settings,false,true,"adminOnlyPOSTPaths + pathPermissions[""/config/geyser""]=""settings"""
GET,/config/java-runtime,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/config/java-runtime,settings,false,true,"adminOnlyPOSTPaths + pathPermissions[""/config/java-runtime""]=""settings"""
GET,/config/ram,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/config/ram,settings,false,true,"adminOnlyPOSTPaths + pathPermissions[""/config/ram""]=""settings"""
GET,/connectivity,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/console/tail,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/duckdns,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/duckdns,settings,false,true,"adminOnlyPOSTPaths + pathPermissions[""/duckdns""]=""settings"""
GET,/files,admin,false,false,RemoteAPIServer+HTTP.swift respond(to:): explicit `guard case .admin = requestRole` before this handler runs
GET,/files/read,admin,false,false,RemoteAPIServer+HTTP.swift respond(to:): explicit `guard case .admin = requestRole` before this handler runs
GET,/health,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/health/problems,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/health/repair,settings,false,true,"adminOnlyPOSTPaths + pathPermissions[""/health/repair""]=""settings"""
GET,/java-runtimes,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/me,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/performance,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/players,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/players/hidden,players,false,true,"adminOnlyPOSTPaths + pathPermissions[""/players/hidden""]=""players"""
GET,/players/profiles,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/players/skin-override,players,false,true,"adminOnlyPOSTPaths + pathPermissions[""/players/skin-override""]=""players"""
GET,/players/{profileId}/skin,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/playit,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/playit/start,networking,false,true,"adminOnlyPOSTPaths + pathPermissions[""/playit/start""]=""networking"""
POST,/playit/stop,networking,false,true,"adminOnlyPOSTPaths + pathPermissions[""/playit/stop""]=""networking"""
GET,/resourcepacks,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/resourcepacks/activate,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/resourcepacks/activate""]=""addons"""
POST,/resourcepacks/remove,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/resourcepacks/remove""]=""addons"""
POST,/resourcepacks/seturl,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/resourcepacks/seturl""]=""addons"""
POST,/resourcepacks/toggle,addons,false,true,"adminOnlyPOSTPaths + pathPermissions[""/resourcepacks/toggle""]=""addons"""
GET,/servers,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/servers/create,fleet,false,true,"adminOnlyPOSTPaths + pathPermissions[""/servers/create""]=""fleet"""
POST,/servers/delete,fleet,false,true,"adminOnlyPOSTPaths + pathPermissions[""/servers/delete""]=""fleet"""
POST,/servers/eula,fleet,false,true,"adminOnlyPOSTPaths + pathPermissions[""/servers/eula""]=""fleet"""
POST,/servers/import,fleet,false,true,"adminOnlyPOSTPaths + pathPermissions[""/servers/import""]=""fleet"""
POST,/servers/rename,fleet,false,true,"adminOnlyPOSTPaths + pathPermissions[""/servers/rename""]=""fleet"""
GET,/session-log,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/settings,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/settings,settings,false,true,"adminOnlyPOSTPaths + pathPermissions[""/settings""]=""settings"""
POST,/start,serverControl,true,true,"pathPermissions[""/start""]=""serverControl"" but absent from adminOnlyPOSTPaths -> guest-accessible, named tokens still need the permission (assertRegistryConsistency's documented exemption)"
GET,/status,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/stop,serverControl,true,true,"pathPermissions[""/stop""]=""serverControl"" but absent from adminOnlyPOSTPaths -> guest-accessible, named tokens still need the permission (assertRegistryConsistency's documented exemption)"
GET,/templates,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
POST,/templates,fleet,false,true,"adminOnlyPOSTPaths + pathPermissions[""/templates""]=""fleet"""
GET,/users,admin,false,false,RemoteAPIServer+HTTP.swift respond(to:): explicit `guard case .admin = requestRole` before this handler runs
POST,/users,admin,false,false,"in adminOnlyPOSTPaths, absent from pathPermissions -> named tokens denied outright (respond(to:) named-token block, ""no permission category -> deny"")"
POST,/users/revoke,admin,false,false,"in adminOnlyPOSTPaths, absent from pathPermissions -> named tokens denied outright (respond(to:) named-token block, ""no permission category -> deny"")"
POST,/users/update,admin,false,false,"in adminOnlyPOSTPaths, absent from pathPermissions -> named tokens denied outright (respond(to:) named-token block, ""no permission category -> deny"")"
GET,/versions,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
GET,/versions/create,none,true,false,"GET requests are allowed for any authenticated token (respond(to:), comment above the named-token block)"
