file,loc,bucket,blind_bucket,difficulty,confidence,recommended_action
AboutView.swift,119,ui,ui,low,high,Rebuild in Svelte; no engine port.
AddServerWizardView.swift,2780,mixed,ui,very_high,high,"Extract staging, process checks, archive handling, source inspection before rebuild."
AddonUpdateResolver.swift,314,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
AddonUpdateSheet.swift,318,ui,ui,low,high,Rebuild in Svelte; no engine port.
AppConfig.swift,884,mixed,io_orchestration,high,high,Split domain model / persistence schema / secrets / UI labels into versioned config domain.
AppModels.swift,299,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
AppUpdateChecker.swift,135,platform,platform,medium,high,Split release metadata from platform installer behavior; Tauri updater.
AppUtilities.swift,241,platform,platform,medium,medium,Split networking / process / platform-presentation helpers.
AppViewModel+APIWiring.swift,230,api_contract,vm_orchestration,low,high,Delete after capturing route mappings and edge behavior.
AppViewModel+APIWiringAddons.swift,624,api_contract,vm_orchestration,low,high,Delete after capturing route mappings and edge behavior.
AppViewModel+APIWiringBackupsHealth.swift,251,api_contract,vm_orchestration,low,high,Delete after capturing route mappings and edge behavior.
AppViewModel+APIWiringContent.swift,383,api_contract,vm_orchestration,low,high,Delete after capturing route mappings and edge behavior.
AppViewModel+APIWiringServerMgmt.swift,588,api_contract,vm_orchestration,low,high,Delete after capturing route mappings and edge behavior.
AppViewModel+APIWiringSettings.swift,430,api_contract,vm_orchestration,low,high,Delete after capturing route mappings and edge behavior.
AppViewModel+APIWiringWorlds.swift,202,api_contract,vm_orchestration,low,high,Delete after capturing route mappings and edge behavior.
AppViewModel+AddonUpdates.swift,415,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+Backups.swift,998,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+BedrockPerformance.swift,197,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+BedrockProperties.swift,83,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+Broadcasting.swift,477,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ClientExport.swift,239,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ComponentsVersions.swift,927,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ConfigHelpers.swift,221,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ConfigRecovery.swift,185,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+FinderTools.swift,126,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+HealthCards.swift,1169,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+JavaProcessCleanup.swift,153,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+Metrics.swift,134,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ModManagement.swift,867,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+Notifications.swift,131,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+OutputHandling.swift,667,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+PaperTemplateDownload.swift,68,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+PlayerProfiles.swift,581,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+Playit.swift,1006,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+PluginManagement.swift,383,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ResourcePacks.swift,294,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ServerControls.swift,1135,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ServerCreation.swift,736,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ServerImport.swift,512,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ServerInfo.swift,111,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ServerSettings.swift,415,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+ServerTransfer.swift,604,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+SessionLog.swift,99,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+Templates.swift,782,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+Watchdog.swift,77,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+WorldConversion.swift,285,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+WorldManagement.swift,314,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+WorldRepair.swift,138,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+WorldSlots.swift,783,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel+XboxBroadcastDownload.swift,173,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AppViewModel.swift,1606,mixed,ui,very_high,high,Delete as engine object; replace with agent services + client stores.
AppViewModelModels.swift,354,mixed,vm_orchestration,high,high,Extract explicit inputs/outputs/side-effects; re-home as Rust service. High implicit AVM coupling.
AuditLogger.swift,140,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
BackupsView.swift,285,ui,ui,low,high,Rebuild in Svelte; no engine port.
BannerView.swift,33,ui,ui,low,high,Rebuild in Svelte; no engine port.
BedrockBroadcastManager.swift,215,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
BedrockHiddenProfiles.swift,44,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
BedrockLevelDB.swift,385,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
BedrockNBTReader.swift,426,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
BedrockNameCache.swift,59,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
BedrockPlayerDataManager.swift,162,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
BedrockPropertiesManager.swift,316,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
BedrockProvisioner.swift,231,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
BedrockServerBackend.swift,658,legacy,platform,none,high,Do not port; Docker backend superseded by VZ. Keep as behavioral reference only.
BedrockSkinFetcher.swift,175,platform,platform,low,high,Return portable image data; never expose NSImage from the agent.
BedrockVersionFetcher.swift,138,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
BroadcastConfigManager.swift,347,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
ChunkerManager.swift,462,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
ClientExportSheet.swift,308,ui,ui,low,high,Rebuild in Svelte; no engine port.
CommandPaletteView.swift,652,ui,ui,low,high,Rebuild in Svelte; no engine port.
ComponentVersionParsing.swift,111,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
ConceptGuideDiagrams.swift,271,ui,ui,low,high,Rebuild in Svelte; no engine port.
ConceptGuideView.swift,734,ui,ui,low,high,Rebuild in Svelte; no engine port.
ConfigManager.swift,309,mixed,io_orchestration,high,high,Rust config repository + platform secret store; preserve atomicity and corruption recovery.
ConsoleManager.swift,474,mixed,pure_domain,medium,high,Split pure line parsing from Combine/UI filter state; agent buffer + client filters.
ConsoleView.swift,485,ui,ui,low,high,Rebuild in Svelte; no engine port.
ContentView.swift,1371,mixed,ui,medium,medium,Symbol-level review: extract embedded parsing/validation/IO before deleting the view.
ContentViewRunnerSupport.swift,110,ui,ui,low,high,Rebuild in Svelte; no engine port.
ContextualHelpFoundation.swift,457,ui,ui,low,high,Rebuild in Svelte; no engine port.
CreateServerView.swift,798,ui,ui,low,high,Rebuild in Svelte; no engine port.
CreateWorldSlotSheet.swift,131,ui,ui,low,high,Rebuild in Svelte; no engine port.
CrossPlatformGuideSheet.swift,946,ui,ui,low,high,Rebuild in Svelte; no engine port.
CurseForgeAPI.swift,145,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
CurseForgeManualDownloadSheet.swift,344,mixed,ui,medium,medium,Symbol-level review: extract embedded parsing/validation/IO before deleting the view.
CurseForgeModpack.swift,239,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
DetailsClipboardAndHUDHelpers.swift,29,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsComponentsActions.swift,46,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsComponentsTabView.swift,1529,mixed,ui,medium,medium,Symbol-level review: extract embedded parsing/validation/IO before deleting the view.
DetailsHeaderSectionView.swift,184,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsOverviewTabView.swift,353,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsPacksTabView.swift,406,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsPerformanceCharts.swift,162,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsPerformanceComponents.swift,170,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsPerformanceHelpers.swift,127,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsPerformanceTabContent.swift,340,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsPerformanceTabView.swift,24,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsPlayersTabView.swift,478,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsSettingsTabView.swift,207,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsView.swift,330,ui,ui,low,high,Rebuild in Svelte; no engine port.
DetailsWorldsTabView.swift,928,ui,ui,low,high,Rebuild in Svelte; no engine port.
EULAManager.swift,44,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
FirstStartSheetView.swift,540,ui,ui,low,high,Rebuild in Svelte; no engine port.
GeyserConfigManager.swift,166,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
GitHubReleaseChecker.swift,94,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
HangarAPI.swift,104,io_orchestration,io_orchestration,medium,medium,"Reimplement idiomatically in Rust; preserve ordering, validation, rollback, failure semantics."
HeadlessScriptGenerator.swift,234,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
HeadlessScriptSheet.swift,312,ui,ui,low,high,Rebuild in Svelte; no engine port.
HealthCardModels.swift,66,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
HealthCardsGridView.swift,692,ui,ui,low,high,Rebuild in Svelte; no engine port.
HealthCardsStripView.swift,359,ui,ui,low,high,Rebuild in Svelte; no engine port.
JavaHiddenProfiles.swift,44,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
JavaInstaller.swift,372,mixed,ui,medium,high,Extract provider selection + extraction + verification; UI becomes operation view.
JavaProcessScanner.swift,77,platform,platform,medium,high,Per-OS process enumeration and ownership checks.
JavaRuntimeManager.swift,289,mixed,io_orchestration,medium,high,Split pure Java version policy from per-OS runtime discovery.
JavaServerBackend.swift,107,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
JavaServerFlavor.swift,247,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
JavaServerLaunchHelper.swift,87,pure_domain,pure_domain,low,high,Translate to Rust against language-neutral fixtures.
JoinCardView.swift,587,ui,ui,low,high,Rebuild in Svelte; no engine port.
KeychainManager.swift,233,platform,platform,medium,high,Implement SecretStore trait: Keychain / DPAPI / Linux protected store.
MSCSettingsSections.swift,1414,ui,ui,low,high,Rebuild in Svelte; no engine port.
MSCSettingsView.swift,1036,mixed,ui,medium,medium,Symbol-level review: extract embedded parsing/validation/IO before deleting the view.
