method,path,operation_id,msc1_capability,permission_category,agent_status,desktop_web_status,ios_status,cli_status,notes,tui_status
POST,/v1/active-server,,Select which registered server is active,serverControl,Implemented,Implemented,Implemented,Implemented,P11.9: fleet and lifecycle screens; P13.4: TUI keyboard server selection,Implemented
GET,/v1/addons,,Installed add-ons (mods/plugins) with update status,none,Implemented,Implemented,Implemented,Implemented,P8.9: note field added for honest provider-unavailable reporting (phase8-api.md SS4); P11.13: add-on and modpack screens; P13.9: TUI installed add-ons,Implemented
GET,/v1/allowlist,,Get the Bedrock allowlist,none,Implemented,Implemented,Implemented,Planned,P12.3: Desktop/Web Bedrock Players screen reads the agent-backed allowlist; P13.7: TUI shows the capability-backed text list,Implemented
POST,/v1/allowlist,,Add or remove a Bedrock allowlist entry,players,Implemented,Implemented,Implemented,Planned,P12.3: Desktop/Web Bedrock Players screen applies the echoed agent-backed list; P13.7: TUI routes add/remove through the shared confirmation and permission boundary,Implemented
GET,/v1/backups,,Backups available for the active server,none,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P13.8: TUI selected-world backup context,Implemented
GET,/v1/backups/config,,Get auto-backup configuration,none,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P13.8: TUI schedule and retention summary,Implemented
POST,/v1/backups/config,,Update auto-backup configuration,settings,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P13.8: TUI schedule and retention mutation,Implemented
POST,/v1/backups/delete,deleteBackup,Delete a backup by id,worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P13.8: TUI confirms target and preserves agent last-backup safety,Implemented
POST,/v1/backups/now,createBackupNow,Start an immediate backup,worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P13.8: TUI manual backup action,Implemented
POST,/v1/backups/restore,restoreBackup,Restore a backup by id (filename),worlds,Implemented,Implemented,Implemented,Implemented,Bedrock-unsupported guard returns capability_unavailable (phase6-api.md SS5); P11.12: world and backup screens; P12.29: restore migration is included in the slot-profile evidence; P13.8: TUI confirms stopped-server and safety-backup consequence,Implemented
GET,/v1/broadcast/auth-prompt,,Get pending MCXboxBroadcast auth prompt,none,Implemented,Implemented,Planned,Planned,P12.12: Server Editor presents the client-owned native auth prompt,Planned
POST,/v1/broadcast/auth-prompt/dismiss,,Dismiss the pending auth prompt,broadcast,Implemented,Implemented,Planned,Implemented,P12.12: Server Editor dismisses the client-owned auth prompt,Planned
GET,/v1/broadcast/autostart,,Get Xbox broadcast auto-start setting,none,Implemented,Implemented,Planned,Implemented,P12.12: Server Editor and Settings read the agent-backed setting,Implemented
POST,/v1/broadcast/autostart,,Set Xbox broadcast auto-start,broadcast,Implemented,Implemented,Planned,Implemented,P12.12: Server Editor and Settings save the agent-backed setting; P13.11: TUI service controls,Implemented
GET,/v1/broadcast/credentials,,Get the host-wide MCXboxBroadcast account status,none,Implemented,Implemented,Planned,Planned,P12.LAST: Settings reads password-presence status without returning the secret; P13.11: TUI renders presence only,Implemented
POST,/v1/broadcast/credentials,,Update MCXboxBroadcast Microsoft account credentials,broadcast,Implemented,Implemented,Planned,Implemented,Password is accepted once and never returned; P12.12: Settings saves the credentials; P13.11: TUI write-only input,Implemented
POST,/v1/broadcast/download-jar,,Download the MCXboxBroadcast JAR,broadcast,Implemented,Planned,Planned,Implemented,,Planned
GET,/v1/broadcast/jar-status,,Get MCXboxBroadcast JAR install status,none,Implemented,Planned,Planned,Implemented,,Planned
POST,/v1/broadcast/restart,,Restart Xbox broadcast,broadcast,Implemented,Planned,Planned,Implemented,,Planned
POST,/v1/broadcast/start,,Start Xbox broadcast,broadcast,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.10: TUI Server Editor action,Implemented
GET,/v1/broadcast/status,,Get Xbox/Bedrock broadcast running status,none,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.10: TUI Server Editor service state,Implemented
POST,/v1/broadcast/stop,,Stop Xbox broadcast,broadcast,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.10: TUI Server Editor action,Implemented
GET,/v1/capabilities,,Report host/token capabilities and the selected server's version-aware world-settings capabilities,none,Implemented,Implemented,Implemented,Implemented,"P12.28: additive worldSettings accepts optional serverType/minecraftVersion/javaFlavor/loaderVersion context and reports per-field availability/reasons plus the installed Java runtime; Desktop/Web consumes it in the create wizard, while iOS and CLI retain API/decoding support without implying a complete world-settings editor; P12.29: unsupported values are omitted and the release boundary is documented; P13.4: TUI filters sections from the advertisement and token permissions",Implemented
GET,/v1/catalog/search,,"Search the Modrinth add-on catalog for the active server (query params q, offset)",none,Implemented,Implemented,Implemented,Implemented,P11.13: add-on and modpack screens; P13.9: TUI searchable catalog,Implemented
POST,/v1/command,,Send a console command to the active server,serverControl,Implemented,Implemented,Implemented,Implemented,"P10.6: shared command route; Bedrock strips one leading slash and translates allowlist/save/operator behavior behind the same API; P11.10: live server screens; P13.5: TUI raw-command input and palette use this route",Implemented
GET,/v1/components,,Installed system components (Paper/Geyser/Floodgate/flavor jar) and update status,none,Implemented,Implemented,Implemented,Planned,P9.10: Geyser/Floodgate detection reports installed helpers and explicitly marks their update information unavailable; CLI has no dedicated system-components inventory command yet; P11.13: add-on and modpack screens; P13.9: TUI system components,Implemented
GET,/v1/components/client-export,,"Package selected components/add-ons for client-side install (query param selected, comma-separated ids)",none,Implemented,Implemented,Implemented,Implemented,"P8.9 correction: zipBase64 removed (never shipped), stagedDownloadId added for exportKind=zip -- avoids ~33% base64 overhead on a modded pack's export (phase8-api.md SS2); P11.13: add-on and modpack screens",Planned
POST,/v1/components/install,,Install an add-on from the Modrinth catalog into the active server,addons,Implemented,Implemented,Implemented,Implemented,"P8.9: async correction, 202+operationId, stagedUploadId local-JAR-install shape, installedDependencies (phase8-api.md SS2/SS4); P11.13: add-on and modpack screens; P13.9: TUI catalog install",Implemented
POST,/v1/components/remove,,Remove an installed Modrinth-tracked add-on,addons,Implemented,Implemented,Implemented,Implemented,P11.13: add-on and modpack screens; P13.9: TUI remove action,Implemented
POST,/v1/components/update,,Update a system component (paper/geyser/floodgate) or a Modrinth-tracked add-on,addons,Implemented,Implemented,Implemented,Implemented,P8.9: async correction for updateAll/jarStem shapes; toggle/manual-link/source-set/source-remove folded in as four more sync shapes (phase8-api.md SS2/SS4); pack-managed refusal (phase8-api.md SS6); P11.13: add-on and modpack screens; P13.9: TUI update and enable/disable actions,Implemented
POST,/v1/components/version,changeVersion,Change the active server's JAR version/build,addons,Implemented,Implemented,Implemented,Implemented,"P7.9: async correction, operationId added (phase7-api.md SS2); P7.26 found and fixed iOS's VersionChangeResultDTO missing operationId and its error-code branch reading result.message instead of the thrown HTTP error's ErrorDTO.code; P11.9: fleet and lifecycle screens; P13.9: TUI JAR/version action",Implemented
GET,/v1/config/geyser,,Get the active server's Geyser config,none,Implemented,Implemented,Planned,Planned,P9.10: detects managed Geyser/Floodgate jars and reports the top-level Bedrock listener without exposing unrelated YAML; P11.14: administration screens,Planned
POST,/v1/config/geyser,,Update the active server's Geyser config,settings,Implemented,Implemented,Planned,Planned,P9.10: atomically patches existing top-level address/port lines only; Geyser's other settings remain Geyser-owned; P11.14: administration screens,Planned
GET,/v1/config/java-runtime,,Get the global Java executable path override,none,Implemented,Implemented,Implemented,Implemented,iOS: SettingsView.swift already wired against RemoteAPIClient.getJavaConfig; no shape mismatch found; P11.14: administration screens; P13.10: TUI Java editor,Implemented
POST,/v1/config/java-runtime,,Set the global Java executable path override,settings,Implemented,Implemented,Implemented,Implemented,iOS: SettingsView.swift already wired against RemoteAPIClient.setJavaConfig; no shape mismatch found; P11.14: administration screens; P13.10: TUI Java path and arguments actions,Implemented
GET,/v1/config/servers-root,,Get the configured servers root folder,none,Implemented,Implemented,Planned,Planned,P11.29i: first-launch host setup,Planned
POST,/v1/config/servers-root,,Set and create the configured servers root folder,settings,Implemented,Implemented,Planned,Planned,P11.29i: first-launch host setup,Planned
GET,/v1/config/ram,,Get the active server's RAM allocation,none,Implemented,Implemented,Implemented,Implemented,iOS: HealthView.swift already wired against RemoteAPIClient.getRAMConfig; no shape mismatch found; P11.14: administration screens; P13.10: TUI General editor,Implemented
POST,/v1/config/ram,,Update the active server's RAM allocation,settings,Implemented,Implemented,Implemented,Implemented,iOS: HealthView.swift already wired against RemoteAPIClient.updateRAMConfig; request/result shape matches; P11.14: administration screens; P13.10: TUI complete-pair RAM editor,Implemented
