file,lines,bucket,difficulty,confidence
AboutView.swift,118,ui,medium,high
AddServerWizardView.swift,2779,mixed,high,medium
AddonUpdateResolver.swift,313,io,high,high
AddonUpdateSheet.swift,317,ui,medium,high
AppConfig.swift,883,mixed,very_high,medium
AppModels.swift,298,pure,low,high
AppUpdateChecker.swift,134,platform,medium,high
AppUtilities.swift,240,platform,medium,high
AppViewModel+APIWiring.swift,229,mixed,high,medium
AppViewModel+APIWiringAddons.swift,623,mixed,high,medium
AppViewModel+APIWiringBackupsHealth.swift,250,mixed,high,medium
AppViewModel+APIWiringContent.swift,382,mixed,high,medium
AppViewModel+APIWiringServerMgmt.swift,587,mixed,high,medium
AppViewModel+APIWiringSettings.swift,429,mixed,high,medium
AppViewModel+APIWiringWorlds.swift,201,mixed,high,medium
AppViewModel+AddonUpdates.swift,414,mixed,high,medium
AppViewModel+Backups.swift,997,mixed,very_high,medium
AppViewModel+BedrockPerformance.swift,196,mixed,high,medium
AppViewModel+BedrockProperties.swift,82,mixed,high,medium
AppViewModel+Broadcasting.swift,476,mixed,high,medium
AppViewModel+ClientExport.swift,238,mixed,high,medium
AppViewModel+ComponentsVersions.swift,926,mixed,high,medium
AppViewModel+ConfigHelpers.swift,220,mixed,high,medium
AppViewModel+ConfigRecovery.swift,184,mixed,high,medium
AppViewModel+FinderTools.swift,125,mixed,high,medium
AppViewModel+HealthCards.swift,1168,mixed,very_high,medium
AppViewModel+JavaProcessCleanup.swift,152,mixed,high,medium
AppViewModel+Metrics.swift,133,mixed,high,medium
AppViewModel+ModManagement.swift,866,mixed,very_high,medium
AppViewModel+Notifications.swift,130,mixed,high,medium
AppViewModel+OutputHandling.swift,666,mixed,very_high,medium
AppViewModel+PaperTemplateDownload.swift,67,mixed,high,medium
AppViewModel+PlayerProfiles.swift,580,mixed,high,medium
AppViewModel+Playit.swift,1005,mixed,very_high,medium
AppViewModel+PluginManagement.swift,382,mixed,high,medium
AppViewModel+ResourcePacks.swift,293,mixed,high,medium
AppViewModel+ServerControls.swift,1134,mixed,very_high,medium
AppViewModel+ServerCreation.swift,735,mixed,very_high,medium
AppViewModel+ServerImport.swift,511,mixed,high,medium
AppViewModel+ServerInfo.swift,110,mixed,high,medium
AppViewModel+ServerSettings.swift,414,mixed,high,medium
AppViewModel+ServerTransfer.swift,603,mixed,very_high,medium
AppViewModel+SessionLog.swift,98,mixed,high,medium
AppViewModel+Templates.swift,781,mixed,high,medium
AppViewModel+Watchdog.swift,76,mixed,high,medium
AppViewModel+WorldConversion.swift,284,mixed,high,medium
AppViewModel+WorldManagement.swift,313,mixed,high,medium
AppViewModel+WorldRepair.swift,137,mixed,high,medium
AppViewModel+WorldSlots.swift,782,mixed,very_high,medium
AppViewModel+XboxBroadcastDownload.swift,172,mixed,high,medium
AppViewModel.swift,1605,mixed,very_high,medium
AppViewModelModels.swift,353,pure,low,high
AuditLogger.swift,139,io,medium,high
BackupsView.swift,284,ui,medium,high
BannerView.swift,32,ui,medium,high
BedrockBroadcastManager.swift,214,io,medium,high
BedrockHiddenProfiles.swift,43,pure,low,high
BedrockLevelDB.swift,384,io,high,medium
BedrockNBTReader.swift,425,pure,low,high
BedrockNameCache.swift,58,pure,low,high
BedrockPlayerDataManager.swift,161,io,medium,high
BedrockPropertiesManager.swift,315,io,medium,high
BedrockProvisioner.swift,230,io,medium,high
BedrockServerBackend.swift,657,legacy,low,high
BedrockSkinFetcher.swift,174,platform,medium,high
BedrockVersionFetcher.swift,137,io,medium,high
BroadcastConfigManager.swift,346,io,medium,high
ChunkerManager.swift,461,io,medium,high
ClientExportSheet.swift,307,ui,medium,high
CommandPaletteView.swift,651,ui,medium,high
ComponentVersionParsing.swift,110,pure,low,high
ConceptGuideDiagrams.swift,270,ui,medium,high
ConceptGuideView.swift,733,ui,medium,high
ConfigManager.swift,308,mixed,very_high,medium
ConsoleManager.swift,473,mixed,high,medium
ConsoleView.swift,484,ui,medium,high
ContentView.swift,1370,ui,high,high
ContentViewRunnerSupport.swift,109,ui,high,high
ContextualHelpFoundation.swift,456,ui,medium,high
CreateServerView.swift,797,ui,medium,high
CreateWorldSlotSheet.swift,130,ui,medium,high
CrossPlatformGuideSheet.swift,945,ui,medium,high
CurseForgeAPI.swift,144,io,high,medium
CurseForgeManualDownloadSheet.swift,343,ui,medium,high
CurseForgeModpack.swift,238,io,high,medium
DetailsClipboardAndHUDHelpers.swift,28,ui,medium,high
DetailsComponentsActions.swift,45,ui,medium,high
DetailsComponentsTabView.swift,1528,ui,high,high
DetailsHeaderSectionView.swift,183,ui,medium,high
DetailsOverviewTabView.swift,352,ui,medium,high
DetailsPacksTabView.swift,405,ui,medium,high
DetailsPerformanceCharts.swift,161,ui,medium,high
DetailsPerformanceComponents.swift,169,ui,medium,high
DetailsPerformanceHelpers.swift,126,ui,medium,high
DetailsPerformanceTabContent.swift,339,ui,medium,high
DetailsPerformanceTabView.swift,23,ui,medium,high
DetailsPlayersTabView.swift,477,ui,medium,high
DetailsSettingsTabView.swift,206,ui,medium,high
DetailsView.swift,329,ui,medium,high
DetailsWorldsTabView.swift,927,ui,high,high
EULAManager.swift,43,io,medium,high
FirstStartSheetView.swift,539,ui,medium,high
GeyserConfigManager.swift,165,io,medium,high
GitHubReleaseChecker.swift,93,io,medium,high
HangarAPI.swift,103,io,medium,high
HeadlessScriptGenerator.swift,233,pure,low,high
HeadlessScriptSheet.swift,311,ui,medium,high
HealthCardModels.swift,65,pure,low,high
HealthCardsGridView.swift,691,ui,medium,high
HealthCardsStripView.swift,358,ui,medium,high
JavaHiddenProfiles.swift,43,pure,low,high
JavaInstaller.swift,371,mixed,high,medium
JavaProcessScanner.swift,76,platform,high,high
JavaRuntimeManager.swift,288,mixed,high,medium
JavaServerBackend.swift,106,io,medium,high
JavaServerFlavor.swift,246,pure,low,high
JavaServerLaunchHelper.swift,86,pure,low,high
JoinCardView.swift,586,ui,medium,high
KeychainManager.swift,232,platform,high,high
MSCSettingsSections.swift,1413,ui,high,high
MSCSettingsView.swift,1035,ui,medium,high
MSCStyles.swift,721,ui,medium,high
MSCTabBar.swift,179,ui,medium,high
ManageServersView.swift,402,ui,medium,high
MessagePlayerSheetView.swift,42,ui,medium,high
MinecraftCommandRegistry.swift,542,mixed,high,medium
MinecraftServerControllerApp.swift,271,ui,medium,high
ModJarMetadataParser.swift,196,io,medium,high
ModpackClientOnlyClassifier.swift,147,mixed,high,medium
ModrinthAPI.swift,441,io,medium,high
ModrinthBrowserView.swift,847,ui,medium,high
ModrinthSlugNormalizer.swift,76,pure,low,high
NeoForgeInstaller.swift,540,io,high,high
NotesAutoSaveProxy.swift,18,ui,medium,high
OnboardingAnchorKey.swift,57,ui,medium,high
OnboardingManager.swift,423,ui,medium,high
OnboardingOverlayView.swift,510,ui,medium,high
OverviewActiveWorldCardView.swift,349,ui,medium,high
OverviewAlertBannersView.swift,91,ui,medium,high
OverviewChatCardView.swift,243,mixed,high,medium
OverviewConnectionCardView.swift,604,ui,medium,high
OverviewConnectionHelpers.swift,54,ui,medium,high
OverviewDuckDNSSectionView.swift,51,ui,medium,high
OverviewHealthCardView.swift,171,ui,medium,high
OverviewHealthHelpers.swift,33,ui,medium,high
OverviewPlayerRowHelpers.swift,160,ui,medium,high
OverviewPlayersCardView.swift,193,ui,medium,high
OverviewPlayersStripView.swift,675,ui,medium,high
OverviewQuickActionsCardView.swift,104,ui,medium,high
OverviewServerStatusBarView.swift,95,ui,medium,high
PaperDownloader.swift,319,io,medium,high
PaperVersionSidecar.swift,51,io,medium,high
PerformanceHelpSheetView.swift,251,ui,medium,high
PlayerAvatarView.swift,476,ui,medium,high
PlayerDataManager.swift,164,io,medium,high
PlayerInventoryView.swift,197,ui,medium,high
PlayerNBTReader.swift,378,io,high,medium
