file,bucket,symbol,kind,disposition,target_domain,source_line,notes
AppViewModel+PaperTemplateDownload.swift,mixed,downloadLatestPaperTemplate,workflow,agent,components,18,"Orchestrates downloading + staging a Paper build into the templates dir (create dir, download via PaperDownloader, versioned rename, move into place, cleanup on failure) -- component/version-management workflow the agent owns, not UI presentation; log messages are UI feedback only."
AppViewModel+Watchdog.swift,mixed,enableWatchdog / enableWatchdogSync,workflow,agent,watchdog,12,"Two entry points (async, from Preferences UI; nonisolated sync, from the Remote API HTTP handler thread -- this is POST /watchdog/enable's implementation, P0.23l) for one capability: enable the OS-level crash-relaunch watchdog via WatchdogRunner.enable. Not view presentation -- Agent."
AppViewModel+Watchdog.swift,mixed,disableWatchdog / disableWatchdogSync,workflow,agent,watchdog,21,Same reasoning as enableWatchdog -- backs POST /watchdog/disable.
AppViewModel+Watchdog.swift,mixed,checkWatchdogStatus,policy,agent,watchdog,31,"Decides whether to regenerate the launchd plist (bundle path moved since last enable) and marks the session active for crash detection -- real decision logic, not just forwarding; backs GET /watchdog/status."
AppViewModel+BedrockProperties.swift,mixed,saveBedrockPropertiesModel,workflow,agent,bedrock-properties,27,"Beyond writing server.properties (delegated to BedrockPropertiesManager.writeModel), also keeps ConfigServer.bedrockPort in sync with the written model's serverPort, persists config, and reloads live settings -- genuine cross-state-sync workflow. The other 7 methods in this file (bedrockPropertiesModel, bedrockAllowlist, addToBedrockAllowlist, removeFromBedrockAllowlist, bedrockPermissions, setBedrockPermission, removeBedrockPermission) are one-line delegations straight to BedrockPropertiesManager with no logic of their own, so per the ledger format's forwarding-glue rule they're not separately rowed -- BedrockPropertiesManager owns that logic."
AppViewModel+SessionLog.swift,mixed,sessionEventsByDay,policy,client,n/a,55,"Groups already-fetched SessionEvent data into day buckets 'for the timeline UI' (source comment). GET /session-log already returns flat events; this is a client-side display transform over agent-provided data -- Client, analogous to window/navigation-state presentation concerns."
AppViewModel+SessionLog.swift,mixed,sessionDuration,policy,client,n/a,76,"Computes and formats a human display string ('3h 5m') for the gap between a join/leave pair, over data already returned by the agent -- display-formatting concern, Client. loadSessionLogForSelectedServer/clearSessionLog/recordSessionEvent (lines 14/25/40) are one-line delegations to SessionLogManager with no logic of their own -- not separately rowed."
AppViewModel+ServerInfo.swift,mixed,effectivePaperJarURL,policy,agent,components,32,"Resolves the effective Paper jar path: explicit configured paperJarPath if it exists on disk, else serverDir/paper.jar, else nil. Server-installation-detection logic -- matches the deletion test's own example row verbatim. Agent. paperJarDisplayName (line 56) is a thin one-line display-string wrapper around this and isn't separately rowed."
AppViewModel+ServerInfo.swift,mixed,crossPlayStatus,policy,agent,components,67,"Scans the server's plugins/ folder for jar filenames containing 'geyser'/'floodgate' to classify cross-play install status (none/geyserOnly/floodgateOnly/both) -- server-installation-detection logic, matches the isGeyserInstalled-style detection already modeled in the config API family (P0.23f). Agent."
AppViewModel+ServerInfo.swift,mixed,CrossPlayStatus.label,policy,client,n/a,18,"Pure UI display-string mapping ('Off', 'Geyser only', ...) for the enum case -- presentation text, Client."
AppViewModel+JavaProcessCleanup.swift,mixed,checkForOrphansOnStartup / scanOrphansInBackground / findKillableJavaServerProcesses,workflow,agent,java-lifecycle,33,"Orphan/ghost Java process detection via JavaProcessScanner.scan, excluding the app's own managed PIDs -- genuine crash-recovery capability the agent must own (process lifecycle, not UI). Two near-identical entry points (published property vs completion-handler) collapsed into one row."
AppViewModel+JavaProcessCleanup.swift,mixed,killJavaServerProcesses / killJavaServerProcessesInternal,workflow,agent,java-lifecycle,74,"Decides graceful-stop-current-server vs SIGTERM-ghost-processes vs no-match, aggregates per-PID success/failure -- real decision + orchestration logic, Agent. showError/logAppMessage calls are presentation feedback only."
AppViewModel+JavaProcessCleanup.swift,mixed,forceTerminateAllRunningProcesses,workflow,agent,java-lifecycle,48,"Force-kills (SIGKILL) all running processes on app quit -- shutdown/cleanup workflow, Agent."
AppViewModel+Metrics.swift,mixed,updateResourceUsageMetrics,parser,agent,metrics,12,"Launches `/bin/ps -p <pid> -o %cpu,rss`, parses its output (strip header/whitespace, split columns), computes normalized CPU% (divided by logical core count, clamped 0-100) and RAM MB / fraction-of-max -- exactly the server resource-monitoring the agent's performance/metrics API (PerformanceSnapshotDTO.cpuPercent/ramUsedMB, P0.11) must replicate server-side. Agent. (Bedrock branch delegates to updateBedrockResourceUsageMetrics, not in this file.)"
AppViewModel+Notifications.swift,mixed,fireNotificationIfEnabled / notificationContent / notificationIdentifier / scheduleLocalNotification / requestNotificationPermissionIfNeeded,workflow,client,n/a,29,"Entirely native macOS notification delivery (UNUserNotificationCenter) -- a platform-specific presentation mechanism; every client (macOS/iOS/future web) would implement its own local notification UX from agent-emitted events. The per-server on/off flags it gates on (ServerNotificationPrefs) are themselves an agent-owned ConfigServer field, already covered structurally by the config-roundtrip domain (P0.15); notificationPrefs(forServerId:)/setNotificationPrefs(forServerId:) (lines 119/124) are thin accessors for that field, not separately meaningful."
AppViewModel+FinderTools.swift,mixed,(none),none,none,n/a,1,"Entire file is Finder-reveal UI (openInFinder + 6 callers, all NSWorkspace.activateFileViewerSelecting) -- the deletion test's own literal example row ('Finder / file-picker presentation | Client'). Directory-creation calls (FileManager.createDirectory) are a side effect of the reveal action ('create it if it's not there so there's something to show'), not standalone agent bootstrap logic -- no agent-owned symbol here."
ServerLifecycleManager.swift,mixed,startMetricsTimer / stopMetricsTimer,workflow,agent,metrics,69,"Periodic (5s) resource-metrics polling. This specific implementation is a macOS RunLoop Timer, but the *capability* (poll and refresh CPU/RAM/TPS/player metrics on an interval) is core agent behavior the Rust port needs its own scheduler for. Agent capability, platform-specific mechanism."
ServerLifecycleManager.swift,mixed,resetForNewRun / resetAfterTermination / beginInitiateRun / clearInitiateState + readiness/initiate/pass2 flags,workflow,client,n/a,17,"UNSURE -- see report. These per-run flags (serverReadyForAutoMetrics, hasLoggedReadyOnce, isInitiationPass2, hasIssuedAutoStopForPass2, pass2BroadcastTechTimerArmed, etc.) appear to gate the macOS app's own phased 'Initiate first run then auto-stop, then bring up playit/Xbox broadcast' wizard UX rather than domain state the agent computes -- classified Client, but an argument exists that 'has the server become ready' and 'has auto-stop already fired for this run' are exactly the kind of state a Rust agent's own operation/job tracking (the 'operation journal' in msc2-port-plan.md's Phase 3 substrate) would also need, just via a different mechanism. Needs a human call on whether this two-pass initiate/auto-stop orchestration is UI-only or agent-side operation-sequencing."
